content_rating,genres,runtime,budget,gross,num_voted_users,num_critic_for_reviews,num_user_for_reviews,imdb_score,aspect_ratio,cast_total_facebook_likes
G,Action,111,12000000,14616,314,1,10,7.5,1.85,2059
G,Action,78,30000,243768,143,3,9,4.1,2.35,72
G,Action,125,2100000,3330,22,4,1,7.2,2.35,214
G,Action,88,1000000,721,783,8,12,4.1,1.85,1284
G,Action,96,1500000,703,480,9,21,5.4,1.85,920
G,Action,102,7500000,4239767,3709,9,83,6,1.85,1834
G,Action,100,500000,31937,1358,9,10,5.7,1.85,2310
G,Action,106,5000000,17382982,5975,9,33,5.2,1.85,2840
G,Action,95,300000,2468,241,10,5,4.8,1.85,2048
G,Action,89,1900000,444044,744,10,19,7.2,1.85,4249
G,Action,91,500000,243347,553,11,24,5.3,1.85,2555
G,Action,88,1200000,58936,91,12,4,6.1,1.78,318
G,Action,103,5000000,16066,1207,13,44,3.3,2.35,1789
G,Action,109,200000,5199,720,13,23,6.6,2.35,185
G,Action,135,1592000,638951,775,15,19,7.4,1.85,83
G,Action,80,427000,2833383,910,16,11,5.7,2.35,2459
G,Action,112,500000,13134,2004,17,32,6.1,2.35,35294
G,Action,100,930000,20186,6025,18,15,5.7,2.35,2924
G,Action,193,700000000,3275443,13998,20,264,6,2.35,10822
G,Action,82,6000000,9821335,1415,22,10,4,1.85,3354
G,Action,111,1650000,2580,1618,22,40,5.4,2.35,2564
G,Action,90,8000000,100503,7759,22,20,5.9,1.85,3124
G,Action,89,3000000,2223990,761,23,14,6.6,1.85,539
G,Action,113,3000000,19184015,1466,24,35,5.4,1.85,159
G,Action,98,500000,295468,709,25,34,6,1.85,24382
G,Action,101,6800000,10696,10771,25,65,6.4,2.35,490
G,Action,85,20000000,32983713,19284,26,66,5.8,1.85,3712
G,Action,107,8000000,53481,5557,26,34,6.4,2.35,2512
G,Action,85,6000000,36497,7367,26,37,4.7,1.85,14599
G,Action,75,2500000,32230907,6062,26,30,6.7,1.85,1385
G,Action,93,4000000,10097096,5612,27,38,4.6,1.85,955
G,Action,99,5500000,56007,3754,27,69,4.9,2.35,6776
